Id. Acidente;Freguesia;Tipo Natureza;Natureza;Datahora;Entidades Fiscalizadoras;Id. Peao;Sexo;Acções Peão;Distrito;Concelho;Lesões a 30 dias;Peao Gr.Etario(<=5) SUM;Peao Gr.Etario(6-9) SUM;Peao Gr.Etario(10-14) SUM;Peao Gr.Etario(15-17) SUM;Peao Gr.Etario(18-20) SUM;Peao Gr.Etario(21-24) SUM;Peao Gr.Etario(25-29) SUM;Peao Gr.Etario(30-34) SUM;Peao Gr.Etario(35-39) SUM;Peao Gr.Etario(40-44) SUM;Peao Gr.Etario(45-49) SUM;Peao Gr.Etario (50-54) SUM;Peao Gr.Etario (55-59) SUM;Peao Gr.Etario (60-64) SUM;Peao Gr.Etario (65-69) SUM;Peao Gr.Etario (70-74) SUM;Peao Gr.Etario (>=75) SUM;Peao Gr.Etario(Não Def.) SUM
2010450773;Vila Nova de Gaia (Santa Marinha);Atropelamento;Atropelamento de peões;2010:05:03 18:10:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Porto;Vila Nova de Gaia;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2010440779;Águas Santas;Atropelamento;Atropelamento de peões;2010:03:14 11:10:00;Polícia de Segurança Pública;1;Feminino;Atravessando fora da passagem de peões, a menos de 50m de uma passagem;Porto;Maia;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2010449102;<Sem Freguesia>;Atropelamento;Atropelamento de peões;2010:04:23 12:40:00;Polícia de Segurança Pública;1;Masculino;Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010441318;São Pedro;Atropelamento;Atropelamento de peões;2010:03:17 16:30:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada;Coimbra;Figueira da Foz;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2010447814;Caia e São Pedro;Atropelamento;Atropelamento de peões;2010:04:14 09:05:00;Polícia de Segurança Pública;1;Feminino;Transitando pela esquerda da faixa de rodagem;Portalegre;Elvas;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2010443142;Escariz;Atropelamento;Atropelamento de peões;2010:01:22 02:00:00;Guarda Nacional Republicana;1;Feminino;Atravessando em passagem sinalizada;Aveiro;Arouca;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2010443154;Macieira de Cambra;Atropelamento;Atropelamento de peões;2010:01:19 14:50:00;Guarda Nacional Republicana;1;Masculino;Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem;Aveiro;Vale de Cambra;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2010451110;Anha;Atropelamento;Atropelamento de peões;2010:03:09 21:30:00;Guarda Nacional Republicana;2;Masculino;Em plena faixa de rodagem;Viana do Castelo;Viana do Castelo;Morto;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
2010451563;Santa Cruz da Trapa;Atropelamento;Atropelamento de peões;2010:03:04 17:45:00;Guarda Nacional Republicana;1;Feminino;Surgindo inesperadamente na faixa de rodagem de trás de um obstáculo;Viseu;Sao Pedro do Sul;Ferido leve;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010441163;São Paulo;Atropelamento;Atropelamento de peões;2010:03:14 04:02:00;Polícia de Segurança Pública;1;Masculino;Em plena faixa de rodagem;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2010449125;Carnaxide;Atropelamento;Atropelamento de peões;2010:04:21 19:55:00;Polícia de Segurança Pública;1;Feminino;Atravessando fora da passagem de peões, a menos de 50m de uma passagem;Lisboa;Oeiras;Ferido grave;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2010432844;Nossa Senhora de Fátima;Atropelamento;Atropelamento de peões;2010:02:09 16:40:00;Polícia de Segurança Pública;1;Feminino;Atravessando em passagem sinalizada com desrespeito da sinalização semafórica;Lisboa;Lisboa;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010434453;Estoril;Atropelamento;Atropelamento de peões;2010:02:05 14:40:00;Polícia de Segurança Pública;1;Feminino;Atravessando fora da passagem de peões, a menos de 50m de uma passagem;Lisboa;Cascais;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2010448272;Carnaxide;Atropelamento;Atropelamento de peões;2010:04:07 09:40:00;Polícia de Segurança Pública;1;Feminino;Em plena faixa de rodagem;Lisboa;Oeiras;Morto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2010436672;Braga (Maximinos);Atropelamento;Atropelamento de peões;2010:02:28 18:40:00;Polícia de Segurança Pública;1;Masculino;NÃO DEFINIDO;Braga;Braga;Ferido leve;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2010436988;Torres Vedras (São Pedro e Santiago;Atropelamento;Atropelamento de peões;2010:03:01 16:00:00;Polícia de Segurança Pública;1;Feminino;Surgindo inesperadamente na faixa de rodagem de trás de um obstáculo;Lisboa;Torres Vedras;Ferido leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
